,title,year,director,genre,country,language,budget,US_box_office,box_office,usr_rating,metacritic
102,Batman Begins ,2005.0,Christopher Nolan, Action,USA,English,150000000.0,206852432.0,373661301.0,8.2,70
103,Serial Killer 1 ,2014.0,Frédéric Tellier, Crime,France,French,5290000.0,10330.0,2573400.0,6.6,
104,Calibre ,2018.0,Matt Palmer, Drama,UK,English,,,,6.8,76
105,Anna Karenina ,2012.0,Joe Wright, Drama,UK,English,40600000.0,12816367.0,68929150.0,6.6,63
106,,,,,,,,,,,
107,Much Ado About Nothing ,1993.0,Kenneth Branagh, Comedy,UK,English,11000000.0,22549338.0,22549338.0,7.3,
108,The Grifters ,1990.0,Stephen Frears, Crime,USA,English,,13446769.0,13446769.0,6.9,86
109,Miami Bici ,2020.0,Jesús del Cerro, Comedy,Romania,Romanian,65000.0,,2663916.0,6.4,
110,Under sandet ,2015.0,Martin Zandvliet, Drama,Denmark,German,35500000.0,435266.0,3169553.0,7.8,75
111,Marie Kroyer ,2012.0,Bille August, Biography,Denmark,Danish,6500000.0,,3382354.0,6.3,
112,Friends with Kids ,2011.0,Jennifer Westfeldt, Comedy,USA,English,10000000.0,7251073.0,13041254.0,6.1,55
113,Friendly Enemies ,1942.0,Allan Dwan, Drama,USA,English,,,,5.7,
114,The Tall T ,1957.0,Budd Boetticher, Romance,USA,English,,,,7.3,
115,Sarafina! ,1992.0,Darrell Roodt, Drama,South Africa,English,,7306242.0,7306242.0,6.4,
116,Agnes Browne ,1999.0,Anjelica Huston, Comedy,USA,English,,148853.0,148853.0,6.6,55
117,Shoot to Kill ,1988.0,Roger Spottiswoode, Action,USA,English,15000000.0,29300090.0,29300090.0,6.8,
118,Ejder Kapani ,2010.0,Ugur Yücel, Action,Turkey,Turkish,6000000.0,,4780084.0,6.5,
119,Ludas Matyi ,1977.0,Attila Dargay, Animation,Hungary,Hungarian,,,,8.3,
120,Antichrist ,2009.0,Lars von Trier, Drama,Denmark,English,11000000.0,404122.0,7413863.0,6.6,49
121,Paavada ,2016.0,G. Marthandan, Comedy,India,Malayalam,,,24985.0,6.2,
122,Ordinary People ,1980.0,Robert Redford, Drama,USA,English,6000000.0,54766923.0,54766923.0,7.7,86
123,"Paul, Apostle of Christ ",2018.0,Andrew Hyatt, Adventure,USA,English,5000000.0,17560475.0,25915966.0,6.6,52
124,Hadewijch ,2009.0,Bruno Dumont, Drama,France,French,4600000.0,5006.0,74586.0,6.7,83
125,Pickup on South Street ,1953.0,Samuel Fuller, Crime,USA,English,780000.0,,,7.7,
126,Mesrine: Public Enemy #1 ,2008.0,Jean-François Richet, Action,France,French,21166000.0,275387.0,321353.0,7.5,72
127,Find Me Guilty ,2006.0,Sidney Lumet, Biography,Germany,English,13000000.0,1173643.0,2636637.0,7.0,65
128,1987 ,2014.0,Ricardo Trogi, Biography,Canada,French,4460000.0,,,7.4,
129,Dialogue avec mon jardinier ,2007.0,Jean Becker, Comedy,France,French,,,15217960.0,7.1,
130,"New York, New York ",1977.0,Martin Scorsese, Drama,USA,English,14000000.0,16400000.0,16400000.0,6.7,64
131,Ask Me Anything ,2014.0,Allison Burnett, Drama,USA,Italian,950000.0,,,6.0,
132,24 Wochen ,2016.0,Anne Zohra Berrached, Drama,Germany,German,,,35266.0,7.2,
133,Gentleman's Agreement ,1947.0,Elia Kazan, Drama,USA,English,1985000.0,,,7.2,
134,Measure of a Man ,2018.0,Jim Loach, Comedy,USA,English,,,,6.3,53
135,,,,,,,,,,,
136,Tarzan and the Mermaids ,1948.0,Robert Florey, Action,USA,English,1000000.0,,,5.9,
137,The Ghost and Mr. Chicken ,1966.0,Alan Rafkin, Comedy,USA,English,700000.0,,,7.3,
138,90 minutter ,2012.0,Eva Sørhaug, Drama,Norway,Norwegian,10200000.0,,703803.0,6.2,
139,Spies ,1928.0,Fritz Lang, Romance,Germany,None,,,,7.6,
140,Bikhod & Bi Jahat ,2012.0,Abdolreza Kahani, Comedy,Iran,Persian,,,,6.4,
141,Manson ,1973.0,Robert Hendrickson, Documentary,USA,English,,,,7.3,
142,Out Stealing Horses ,2019.0,Hans Petter Moland, Drama,Norway,Norwegian,4100000.0,,1480790.0,6.6,68
143,Frequencies ,2013.0,Darren Paul Fisher, Mystery,Australia,English,,,,6.8,
144,Hadersfild ,2007.0,Ivan Zivkovic, Drama,Serbia,Serbian,,,66300.0,8.3,
145,,,,,,,,,,,
146,Si-ra-no; Yeon-ae-jo-jak-do ,2010.0,Hyun-seok Kim, Comedy,South Korea,Korean,,,17917697.0,6.6,
147,Thalaivaa ,2013.0,A.L. Vijay, Action,India,Tamil,450000000.0,,1654633.0,6.1,
148,Beruseruku: Ougon jidai-hen I - Haou no tamago ,2012.0,Toshiyuki Kubooka, Animation,Japan,Japanese,,,2152610.0,7.6,
149,Der geilste Tag ,2016.0,Florian David Fitz, Comedy,Germany,German,,,16542495.0,6.5,
150,El habitante incierto ,2004.0,Guillem Morales, Drama,Spain,Spanish,,,,6.8,
151,,,,,,,,,,,
152,The Razor's Edge ,1946.0,Edmund Goulding, Drama,USA,English,1200000.0,,,7.4,
153,Shot Caller ,2017.0,Ric Roman Waugh, Crime,USA,English,,,3440362.0,7.3,59
154,John Carter ,2012.0,Andrew Stanton, Action,USA,English,250000000.0,73078100.0,284139100.0,6.6,51
155,Tarzan's Secret Treasure ,1941.0,Richard Thorpe, Action,USA,English,,,,6.6,
156,Noce blanche ,1989.0,Jean-Claude Brisseau, Drama,France,French,,,,6.9,
157,The Cat from Outer Space ,1978.0,Norman Tokar, Comedy,USA,English,4000000.0,,,6.1,58
158,Umrika ,2015.0,Prashant Nair, Comedy,India,Hindi,,,138706.0,6.6,
159,THX 1138 ,1971.0,George Lucas, Drama,USA,English,777000.0,2437000.0,2437000.0,6.7,75
160,Breathing ,2011.0,Karl Markovics, Drama,Austria,German,1000000.0,4630.0,807436.0,6.9,66
161,Mad Max 2: The Road Warrior ,1981.0,George Miller, Action,Australia,English,3000000.0,23667907.0,23667907.0,7.6,77
162,Sammy's avonturen: De geheime doorgang ,2010.0,Ben Stassen, Animation,France,Danish,,,70627617.0,6.1,
163,The Lift ,1983.0,Dick Maas, Horror,Netherlands,Dutch,350000.0,,,6.2,
164,La moustache ,2005.0,Emmanuel Carrère, Drama,France,French,,244771.0,3044771.0,6.7,71
165,Death Watch ,1980.0,Bertrand Tavernier, Drama,France,French,,,,6.7,
166,The Dirty Dozen ,1967.0,Robert Aldrich, Action,UK,English,5400000.0,,,7.7,73
167,Headshot ,2011.0,Pen-Ek Ratanaruang, Crime,Thailand,Thai,,1373.0,115511.0,6.2,60
168,The School of Rock ,2003.0,Richard Linklater, Comedy,USA,English,35000000.0,81261177.0,131095614.0,7.1,82
169,,,,,,,,,,,
170,Dangshin Geogi Iteojoorraeyo ,2016.0,Ji-Yeong Hong, Drama,South Korea,Korean,,,7762907.0,7.0,
171,Ugramm ,2014.0,Prashanth Neel, Action,India,Kannada,,,,8.2,
172,,,,,,,,,,,
173,Pathfinder ,1987.0,Nils Gaup, Action,Norway,Saami,,10628.0,242994.0,7.2,
174,Loosideu deurim ,2017.0,Joon-Sung Kim, Sci-Fi,South Korea,Korean,5000000.0,,,6.1,
175,The Proposition ,1998.0,Lesli Linka Glatter, Drama,USA,English,,147773.0,147773.0,6.2,
176,Le Quattro Volte ,2010.0,Michelangelo Frammartino, Drama,Italy,None,,152530.0,701334.0,7.2,80
177,No Men Beyond This Point ,2015.0,Mark Sawers, Comedy,Canada,English,,,,6.3,
178,Fires of Kuwait ,1992.0,David Douglas, Documentary,USA,,,,,7.2,
179,Walking with the Enemy ,2013.0,Mark Schmidt, Action,Romania,English,,1112592.0,1112592.0,6.4,44
180,Kawaki ,2014.0,Tetsuya Nakashima, Drama,Japan,Japanese,,16627.0,6627892.0,6.6,55
181,Maharshi ,2019.0,Vamshi Paidipally, Action,India,Telugu,,,595200.0,7.3,
182,The Game ,1997.0,David Fincher, Action,USA,English,50000000.0,48323648.0,109423648.0,7.8,61
183,Mea culpa ,2014.0,Fred Cavayé, Action,France,French,,,3736775.0,6.1,
184,The Boys Next Door ,1985.0,Penelope Spheeris, Crime,USA,English,5000000.0,,,6.4,66
185,Bangalore Days ,2014.0,Anjali Menon, Comedy,India,Malayalam,,,180217.0,8.3,
186,Shaadi Mein Zaroor Aana ,2017.0,Ratnaa Sinha, Drama,India,Hindi,,,97154.0,7.6,
187,Spectral ,2016.0,Nic Mathieu, Action,USA,English,70000000.0,,,6.3,
188,Disobedience ,2017.0,Sebastián Lelio, Drama,Ireland,English,6000000.0,3498782.0,8003180.0,6.6,74
189,,,,,,,,,,,
190,Table No. 21 ,2013.0,Aditya Datt, Adventure,India,Hindi,,46720.0,77621.0,7.1,
191,06/05 ,2004.0,Theo van Gogh, Drama,Netherlands,Dutch,2000000.0,,63424.0,6.6,
192,Howards End ,1992.0,James Ivory, Drama,UK,English,,26126837.0,26341736.0,7.4,89
193,Hungama ,2003.0,Priyadarshan, Comedy,India,Hindi,,,1979689.0,7.5,
194,,,,,,,,,,,
195,Sseo-ni ,2011.0,Hyeong-Cheol Kang, Comedy,South Korea,Korean,,,51116421.0,7.8,
196,The Fourth Man ,1983.0,Paul Verhoeven, Drama,Netherlands,Dutch,,,,7.2,
197,Hunt for the Wilderpeople ,2016.0,Taika Waititi, Adventure,New Zealand,English,,5205468.0,22835917.0,7.9,81
198,The Anniversary Party ,2001.0,Alan Cumming, Comedy,USA,English,,4047329.0,4931888.0,6.2,56
199,,,,,,,,,,,
200,Loving Annabelle ,2006.0,Katherine Brooks, Drama,USA,English,1000000.0,,,6.3,
201,Mia zoi tin ehoume ,1958.0,Yorgos Tzavellas, Comedy,Greece,Greek,,,,8.3,
202,,,,,,,,,,,
203,Street Angel ,1928.0,Frank Borzage, Drama,USA,None,,,,7.4,
204,That Night ,1992.0,Craig Bolotin, Drama,France,English,,20194.0,20194.0,6.7,
205,,,,,,,,,,,
206,,,,,,,,,,,
207,,,,,,,,,,,
208,The Horse Soldiers ,1959.0,John Ford, Adventure,USA,English,,,,7.2,
209,,,,,,,,,,,
210,Star Wars: Episode V - The Empire Strikes Back ,1980.0,Irvin Kershner, Action,USA,English,18000000.0,292674960.0,550913836.0,8.7,82
211,The Legend of Tarzan ,2016.0,David Yates, Action,UK,English,180000000.0,126643061.0,356700357.0,6.2,44
212,Snezhnaya koroleva 2. Perezamorozka ,2014.0,Aleksey Tsitsilin, Animation,Russia,Russian,,,15640057.0,6.0,
213,Dark Harbor ,1998.0,Adam Coleman Howard, Thriller,USA,English,,,,6.2,
214,Ljudozder vegetarijanac ,2012.0,Branko Schmidt, Crime,Croatia,Croatian,,,,7.2,
215,Qismat ,2018.0,Jagdeep Sidhu, Drama,India,Punjabi,1000000.0,,188044.0,8.4,
216,The Last Starfighter ,1984.0,Nick Castle, Action,USA,English,15000000.0,28733290.0,28733290.0,6.8,67
217,Poster Girl ,2010.0,Sara Nesson, Documentary,USA,English,,,,6.7,
218,The Hindenburg ,1975.0,Robert Wise, Adventure,USA,English,15000000.0,,,6.3,
219,The Edge of Seventeen ,2016.0,Kelly Fremon Craig, Comedy,USA,English,9000000.0,14431633.0,19370020.0,7.3,77
220,Broj 55 ,2014.0,Kristijan Milic, Action,Croatia,Croatian,6500000.0,,56732.0,7.0,
221,Antikorper ,2005.0,Christian Alvart, Crime,Germany,German,1900000.0,,891133.0,7.0,57
222,The Sailor Who Fell from Grace with the Sea ,1976.0,Lewis John Carlino, Drama,UK,English,,,,6.3,
223,Noble ,2014.0,Stephen Bradley, Biography,UK,English,,347321.0,1213927.0,6.8,63
224,Grandmaster ,2012.0,B. Unnikrishnan, Action,India,Malayalam,,17077.0,17077.0,7.0,
225,Ballon ,2018.0,Michael Herbig, Drama,Germany,German,10.0,34222.0,13562317.0,7.5,53
226,The Boys & Girl from County Clare ,2003.0,John Irvin, Comedy,Ireland,English,8000000.0,142872.0,151869.0,6.5,59
227,Tunes of Glory ,1960.0,Ronald Neame, Drama,UK,English,,,,7.5,
228,Off the Map ,2003.0,Campbell Scott, Drama,USA,English,,1317167.0,1319492.0,7.2,68
229,Star Wars: Episode II - Attack of the Clones ,2002.0,George Lucas, Action,USA,English,115000000.0,310676740.0,653779970.0,6.5,54
230,Kokuhaku ,2010.0,Tetsuya Nakashima, Drama,Japan,Japanese,,,45203103.0,7.8,
231,The Pig ,2018.0,Mani Haghighi, Comedy,Iran,Persian,,,24666.0,6.1,
